pathwayId	pathwayName	topPathwayName	topPathway
R-MMU-9613829	Chaperone Mediated Autophagy	Autophagy	R-MMU-9612973
R-MMU-9615710	Microautophagy	Autophagy	R-MMU-9612973
R-MMU-68962	Activation of the pre-replicative complex	Cell Cycle	R-MMU-1640170
R-MMU-69017	CDK-mediated phosphorylation and removal of Cdc6	Cell Cycle	R-MMU-1640170
R-MMU-68952	DNA replication initiation	Cell Cycle	R-MMU-1640170
R-MMU-912446	Meiotic recombination	Cell Cycle	R-MMU-1640170
R-MMU-68949	Orc1 removal from chromatin	Cell Cycle	R-MMU-1640170
R-MMU-69091	Polymerase switching	Cell Cycle	R-MMU-1640170
R-MMU-69183	Processive synthesis on the lagging strand	Cell Cycle	R-MMU-1640170
R-MMU-69166	Removal of the Flap Intermediate	Cell Cycle	R-MMU-1640170
R-MMU-69052	Switching of origins to a post-replicative state	Cell Cycle	R-MMU-1640170
R-MMU-176974	Unwinding of DNA	Cell Cycle	R-MMU-1640170
R-MMU-68962	Activation of the pre-replicative complex	DNA Replication	R-MMU-69306
R-MMU-69017	CDK-mediated phosphorylation and removal of Cdc6	DNA Replication	R-MMU-69306
R-MMU-68952	DNA replication initiation	DNA Replication	R-MMU-69306
R-MMU-68949	Orc1 removal from chromatin	DNA Replication	R-MMU-69306
R-MMU-69091	Polymerase switching	DNA Replication	R-MMU-69306
R-MMU-69183	Processive synthesis on the lagging strand	DNA Replication	R-MMU-69306
R-MMU-69166	Removal of the Flap Intermediate	DNA Replication	R-MMU-69306
R-MMU-69052	Switching of origins to a post-replicative state	DNA Replication	R-MMU-69306
R-MMU-176974	Unwinding of DNA	DNA Replication	R-MMU-69306
R-MMU-69190	DNA strand elongation	DNA Replication	R-MMU-69306
R-MMU-69186	Lagging Strand Synthesis	DNA Replication	R-MMU-69306
R-MMU-69109	Leading Strand Synthesis	DNA Replication	R-MMU-69306
R-MMU-69239	Synthesis of DNA	DNA Replication	R-MMU-69306
R-MMU-171306	Packaging Of Telomere Ends	DNA Replication	R-MMU-69306
R-MMU-68827	CDT1 association with the CDC6:ORC:origin complex	DNA Replication	R-MMU-69306
R-MMU-5693554	Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)	DNA Replication	R-MMU-69306
R-MMU-2173795	Downregulation of SMAD2/3:SMAD4 transcriptional activity	Gene expression (Transcription)	R-MMU-74160
R-MMU-2173796	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	Gene expression (Transcription)	R-MMU-74160
